Port Code,Port Name,Country Code
PGO,"PAPAGAYO, COSTA RICA",CRI
RIG,"RIO GRANDE, BRAZIL",BRA
DIK,"DIKILI, TURKEY",TUR
KVA,"KAVALA, GREECE",GRC
PRG,"PARGA, GREECE",GRC
ZJB,"KUANTAN, MALAYSIA",MYS
MSP,"MESSINA STRAIT PASSAGE,ITALY",ITA
CHR,"CHANIA, CRETE, GREECE",GRC
CQF,"PORT DE CALAIS, FRANCE",FRA
MRE,"MARE, NEW CALEDONIA",NCL
PPS,"PUERTO PRINCESA,PHILIPPINES",PHL
IBE,"IMPERIA, ITALY",ITA
CAZ,"CAYO LEVANTADO, D.R.",DOM
XMC,"MONTE CARLO, MONACO",MCO
PMA,"MARGHERA, ITALY",ITA
FRC,"FREDERICIA, DENMARK",DNK
PLO,"PORT LINCOLN, AUSTRALIA",AUS
EBJ,"ESBJERG, DENMARK",DNK
VIL,"VILLAGARCIA DE AROUSA, SPAIN",ESP
PTS,"PORTO TORRES(SARDINIA),ITALY",ITA
RIN,"CORK (RINGASKIDDY), IRELAND",IRL
IGO,"IGOUMENITSA, GREECE",GRC
KKV,"KORSAKOV, RUSSIA",RUE
SMZ,"MT FUJI (SHIMIZU), JAPAN",JPN
KOK,"KO KUT, THAILAND",THA
HAU,"HAUGESUND, NORWAY",NOR
SSB,"SAO SEBASTIO, BRAZIL",BRA
RVJ,"ROVINJ (ISTRIA), CROATIA",HRV
ANZ,"ANZAC COVE,TURKEY (CRUISING)",TUR
TGN,"BARCELONA (TARRAGONA), SPAIN",ESP
ALD,"ALCUDIA (MALLORCA), SPAIN",ESP
AAL,"AALBORG, DENMARK",DNK
GZM,"MGARR, GOZO, MALTA",MLT
GRX,"MALAGA (GRANADA), SPAIN",ESP
HUV,"HUELVA, SPAIN",ESP
BTN,"BARTIN (AMASRA), TURKEY",TUR
AYR,"GLASGOW (AYR), SCOTLAND",GBR
IOL,"STORNOWAY (ISLE LEWIS), SCOT",GBR
PNU,"PENGHU(MAGONG) TAIWAN, CHINA",TWN
TIS,"THURSDAY ISLAND, AUSTRALIA",AUS
CDS,"CASTELLAMARRE DISTABIA,ITALY",ITA
DLG,"DUN LAOGHAIRE, IRELAND",IRL
BOO,"BODO, NORWAY",NOR
LKL,"LAKSELV, NORWAY",NOR
MMK,"MURMANSK, RUSSIA",RUE
SEY,"SEYDISFJORDUR, ICELAND",ISL
VES,"VESTMANNAEYJAR, ICELAND",ISL
PNG,"PARANAGUA, BRAZIL",BRA
LXS,"MYRINA, LEMNOS ISL, GREECE",GRC
MDR,"MOUDHROS, LEMNOS ISL, GREECE",GRC
JSH,"SITEIA, CRETE, GREECE",GRC
CRV,"CROTONE, ITALY",ITA
RSN,"BAYOFKOTOR(RISAN),MONTENEGRO",MNE
LCV,"LIVORNO (LUCCA), ITALY",ITA
AMH,"AL MANAMAH, BAHRAIN",BHR
PIO,"PIOMBINO (TUSCANY), ITALY",ITA
KHS,"KHASAB, OMAN",OMN
MAI,"KYOTO (MAIZURU), JAPAN",JPN
DOH,"DOHA, QATAR",QAT
CES,"CESME, TURKEY",TUR
TSV,"TOWNSVILLE, AUSTRALIA",AUS
TAN,"TANGALOOMA MORETON ISL, AUST",AUS
PVC,"PROVINCETOWN, MASSACHUSETTS",USA
ULL,"ULLAPOOL, UNITED KINGDOM",GBR
ESK,"ESKIFJORDUR - HOFN, ICELAND",ISL
HLL,"HOLY LOCH, UNITED KINGDOM",GBR
MLL,"MOOLOOLABA, QUEENSLAND, AUST",AUS
KCZ,"KOCHI, JAPAN",JPN
SDJ,"SENDAI, JAPAN",JPN
YAY,"ST. ANTHONY, NEWFOUNDLAND",CAN
YUL,"MONTREAL, QUEBEC",CAN
CNA,"PUNTA CANA, DOMINICAN REP",DOM
SLW,SAINT LAWRENCE RIVER,CAN
CGK,"JAKARTA, INDONESIA",IDN
WTG,"WAITANGI, BAY OF ISLANDS,NZL",NZL
RUS,"RUSSEL, BAY OF ISLANDS, NZL",NZL
KBZ,"KAIKOURA, NEW ZEALAND",NZL
BAY,"BAYONNE, FRANCE",FRA
GSM,"PISCO, PERU",PER
TRU,"SALAVERRY (TRUJILLO), PERU",PER
KMJ,"KUMAMOTO, JAPAN",JPN
LCC,"GALLIPOLI (LECCE), ITALY",ITA
AXT,"AKITA, JAPAN",JPN
NIS,"MANDRAKI,NISYROS ISL, GREECE",GRC
LIP,"LIPARI, ITALY",ITA
LPS,"LA PASSE,LA DIGUE,SEYCHELLES",SYC
NVK,"NARVIK, NORWAY",NOR
VAV,"VAVAU (NEIAFU), TONGA",TON
TBU,"NUKU 'ALOFA, TONGA",TON
PKL,"WOLLONGONG (PORT KEMBLA),AUS",AUS
SIB,"SIBENIK, CROATIA",HRV
SSO,"SASEBO(MIURA), JAPAN",JPN
ZHZ,"HALIFAX,NS-NO DISEMBARKATION",CAN
PEA,"KANGAROO ISL (PENNESHAW),AUS",AUS
DUN,"DUNDEE, SCOTLAND, UK",GBR
XPS,"PORT SAID, EGYPT -NO DEBARK",EGY
KLF,"KHOR AL FAKKAN, U.A.E.",ARE
TGH,"DONGHAE, SOUTH KOREA",KOR
WHI,"WHITSUNDAY ISLANDS,AUSTRALIA",AUS
ALG,"ALGHERO, ITALY",ITA
HMB,"HAMBANTOTA, SRI LANKA",LKA
GDK,"GDANSK, POLAND",POL
BTU,"BINTULU, MALAYSIA",MYS
OST,"OOSTENDE, BELGIUM",BEL
HOR,"HORTA, AZORES",PRT
RJK,"RIJEKA, CROATIA",HRV
SBY,"SIR BANI YAS,U.ARAB EMIRATES",ARE
RLG,"ROSTOCK, GERMANY",DEU
CFG,"CIENFUEGOS, CUBA",CUB
HAV,"HAVANA, CUBA",CUB
SCU,"SANTIAGO DE CUBA, CUBA",CUB
SHS,"SHIMONOSEKI, JAPAN",JPN
ANI,"AGIOS NIKOLAOS, CRETE",GRC
PSC,PUNTA PITT (SAN CRISTOBAL),ECU
KIN,"KINGSTON, JAMAICA",JAM
PXO,MADEIRA (PORTO SANTO),PRT
PDX,"PORTLAND, OREGON",USA
SYM,"SYMI, GREECE",GRC
ZYM,"SYMI,GREECE - TECHNICAL STOP",GRC
HRR,"MIYAKO ISL (HIRARA), JAPAN",JPN
KSU,"KRISTIANSUND, NORWAY",NOR
GER,"ISLA DE LA JUVENTUD, CUBA",CUB
MSQ,MOSQUERA ISLET (GALAPAGOS),ECU
ESB,ESPUMILLA BEACH (SANTIAGO),ECU
ELB,EL BARRANCO (GENOVESA),ECU
DWB,DARWIN BAY (GENOVESA),ECU
PVL,PUERTO VILLAMIL (ISABELA),ECU
WOT,WALL OF TEARS (ISABELA),ECU
LLO,LOS LOBOS (SAN CRISTOBAL),ECU
BTC,BLACK TURTLE COVE (SANTA,ECU
CHI,CHINESE HAT ISLET,ECU
WRH,WARLOCK HILL (SAN CRISTOBAL),ECU
POP,"PUERTO PLATA, DOMINICAN REP",DOM
KIJ,"NIIGATA, JAPAN",JPN
KKJ,"KITAKYUSHU, JAPAN",JPN
CXR,"NHA TRANG (CAM RANH),VIETNAM",VNM
NSZ,"NANSHA, CHINA",CHN
SZX,"SHENZHEN, CHINA",CHN
SYW,"SYDNEY (WHITE BAY),AUSTRALIA",AUS
TJI,"BANANA COAST(TRUJILLO),HOND.",HND
QDN,"EDEN, AUSTRALIA",AUS
EMR,"PORQUEROLLES ISLAND, FRANCE",FRA
HSN,"JEJU(HWASUN BAY),SOUTH KOREA",KOR
NSN,"NELSON, NEW ZEALAND",NZL
TUT,"TUTICORIN, INDIA",IND
PBD,"PORBANDER, INDIA",IND
RVK,"RORVIK, NORWAY",NOR
HOG,"HOLGUIN, CUBA",CUB
PTR,"PORTRUSH, NORTHERN IRELAND",GBR
SZS,"OBAN,STEWART ISLAND,NEW ZLND",NZL
MOG,"MOGI, JAPAN",JPN
MOJ,"MOJI/KITAKYUSHU, JAPAN",JPN
XCN,"CORON, PHILIPPINES",PHL
NCL,"NEWCASTLE UPON TYNE, U.K.",GBR
GIS,"GISBORNE, NEW ZEALAND",NZL
LRT,"LORIENT, FRANCE",FRA
HMR,"HOMER, ALASKA",USA
SBG,"SABANG, INDONESIA",IDN
CJX,"JEJU,S.KOREA(TECHNICAL CALL)",KOR
KJX,"KUMAMOTO,JAPAN (PENDING)",JPN
NWF,"EDINBURGH(NEWHAVEN),SCOTLAND",GBR
KDK,"KODIAK, ALASKA",USA
CBU,"CAMBORIU, BRAZIL",BRA
JJU,"QAQORTOQ, GREENLAND",GRL
BGP,PRINS CHRISTIAN SUND(CRUISE),GRL
POA,"BAR, MONTENEGRO",MNE
BIM,"BIMINI, BAHAMAS",BHS
NFD,"NORDFJORDEID, NORWAY",NOR
SNR,"ST. NAZAIRE, FRANCE",FRA
NKS,"OKINAWA (NAKAGUSUKU), JAPAN",JPN
MRU,"PORT LOUIS, MAURITIUS",MUS
SBB,"SUBIC BAY, PHILIPPINES",PHL
MRI,"AREQUIPA (MATARANI), PERU",PER
XBC,CRUISING BEAGLE CHANNEL,ARG
SPE,"SPETSES, GREECE",GRC
SAI,"SAN ANTONIO, CHILE",CHL
ANF,"ANTOFAGASTA, CHILE",CHL
FOY,"FOWEY, UK",GBR
SMI,"SAMOS, GREECE",GRC
MON,"MONEMVASIA, GREECE",GRC
SRA,"LAGUNA SAN RAPHAEL, CHILE",CHL
PUY,"PULA, CROATIA",HRV
ENC,ENDICOTT ARM & DAWES GLACIER,USA
WRN,"WARNEMUNDE, GERMANY",DEU
DKR,"DAKAR, SENEGAL",SEN
HGL,"HELGOLAND, GERMANY",DEU
RSE,"ROSENDAL, NORWAY",NOR
LDY,"LONDONDERRY,NORTHERN IRELAND",IRL
BLB,"BALBOA, PANAMA",PAN
CMO,"CURRIMAO, PHILIPPINES",PHL
NPZ,"NEW PLYMOUTH, NEW ZEALAND",NZL
FOV,"FOYNES, IRELAND",IRL
BTH,"BANTRY HARBOUR, IRELAND",IRL
HMY,"HEIMAEY, ICELAND",ISL
HUS,"HUSAVIK, ICELAND",ISL
BSS,"BUSSELTON, AUSTRALIA",AUS
LAD,"LUANDA, ANGOLA",AGO
TKD,"TAKORADI, GHANA",GHA
ABJ,"ABIDJAN, IVORY COAST",GHA
XNC,NORTH CAPE (CRUISING),NOR
XHF,HARDANGERFJORD (CRUISING),NOR
KLZ,"KALAMATA, GREECE",GRC
XIN,"ISFJORDEN, NORWAY (CRUISING)",NOR
XBN,BARRENTSBURG (CRUISING),NOR
XPN,"PYRAMIDEN, NORWAY (CRUISING)",NOR
XTN,TEMPELFJORDEN (CRUISING),NOR
XLN,LILLIEHOOK GLACIER(CRUISING),NOR
NYA,"NY-ALESUND, NORWAY",NOR
PCC,"PERFECT DAY COCOCAY, BAHAMAS",BHS
ZLO,NO LONGER VALID,MEX
SLM,ILOCOS(SALOMAGUE)PHILIPPINES,PHL
DUR,"DURBAN, SOUTH AFRICA",ZAF
ELS,"EAST LONDON, SOUTH AFRICA",ZAF
MPM,"MAPUTO, MOZAMBIQUE",MOZ
PLZ,"PORT ELIZABETH, SOUTH AFRICA",ZAF
RCB,"RICHARDS BAY, SOUTH AFRICA",ZAF
RUN,"POINTE DES GALETS, REUNION",REU
ZNZ,"ZANZIBAR, TANZANIA",TZA
KBS,"DONEGAL (KILLYBEGS), IRELAND",IRL
GWY,"GALWAY, IRELAND",IRL
AOI,"ANCONA, ITALY",ITA
RET,"RETHYMNON, CRETE, GREECE",GRC
BJL,"BANJUL, THE GAMBIA",GMB
LUD,"LUDERITZ, NAMIBIA",NAM
WVB,"WALVIS BAY, NAMIBIA",NAM
EVE,"HARSTAD, NORWAY",NOR
MHQ,"MARIEHAMN, ALAND, FINLAND",FIN
ABD,"ABERDEEN, SCOTLAND",GBR
FTU,"TAOLAGNARO, MADAGASCAR",MDG
FRF,"VESTERALEN, NORWAY",NOR
RKT,"RAS AL KHAIMAH, U.A.E.",ARE
ASJ,"AMAMI, JAPAN",JPN
ABA,"ABASHIRI, JAPAN",JPN
MNC,"MANCHESTER, UK",GBR
KSB,"KHALIFA BIN SALMAN, BAHRAIN",BHR
SKT,"SAKATA, JAPAN",JPN
CHZ,NOT IN USE,USA
CHX,"CHAN MAY, VIETNAM(TECH.CALL)",VNM
UKY,"KYOTO (OSAKA), JAPAN",JPN
XNS,"NASSAU, BAHAMAS (NO DEBARK)",BHS
LEL,"LELEPA, VANUATU",VUT
SLB,STATUE OF LIBERTY (CRUISING),USA
FRA,"FRASER ISLAND, AUSTRALIA",AUS
IQQ,"IQUIQUE, CHILE",CHL
TKM,"TOLKAMER, NETHERLANDS",NLD
GOH,"NUUK, GREENLAND",GRL
RNK,"RUNAVIK, FAROE ISLANDS",FRO
MLO,"MILOS, GREECE",GRC
MAM,"MAMOUDZOU, MAYOTTE",MYT
MZQ,"ISLAND OF MOZAMBIQUE, MZ",MOZ
WPT,"WARRENPOINT, N. IRELAND",GBR
SAK,"SKAGAFJORDUR, ICELAND",ISL
NFK,"KINGSTON, NORFOLK ISLAND",NFK
DAR,"DAR ES SALAAM, TANZANIA",TZA
WET,WET-DOCK (LOCATION VARIES),USA
XIS,"TORTOLA, BVI  TECHNICAL CALL",VIR
TNJ,"BINTAN ISLAND, INDONESIA",IDN
GYE,"GUAYAQUIL, ECUADOR",ECU
SGR,"SASEBO (URAGASHIRA), JAPAN",JPN
PTJ,"PORTLAND, AUSTRALIA",AUS
PST,"POSITANO, ITALY",ITA
LNY,"LANAI, HAWAII",USA
PLY,INVAID PORT CODE,GRC
ACC,"TEMA (ACCRA), GHANA",GHA
PYL,"PYLOS, GREECE",GRC
NOS,"NOSY BE, MADAGASCAR",MDG
HMD,"HAMAD PORT, QATAR",QAT
YNE,"LA SEYNE-SUR-MER, FRANCE",FRA
DAN,DARDANELLES (CRUISING),TUR
BLU,"BLUFF, NEW ZEALAND",NZL
AMO,"AMORGOS, GREECE",GRC
JSY,"SYROS, GREECE",GRC
SIF,"SIFNOS, GREECE",GRC
WRE,"WHANGAREI, NEW ZEALAND",NZL
SEI,"SEPT-ILES, QUEBEC, CANADA",CAN
FSH,"FISHGUARD, WALES",GBR
BRS,"BRISTOL, UK",GBR
TIN,"TINOS, GREECE",GRC
VIF,"VIEUX FORT, ST. LUCIA",LCA
BNN,"BRONNOYSUND, NORWAY",NOR
CC1,COCOCAY TECHNICAL STOP,BHS
PK1,PORT KEMBLA TECHNICAL STOP,AUS
FL1,FT. LAUDERDALE TECHNICAL,USA
GA1,GALVESTON TECHNICAL STOP,USA
GU1,GULFPORT TECHNICAL STOP,USA
BG1,BARBADOS TECHNICAL STOP,BRB
SX1,ST. MAARTEN TECHNICAL STOP,ANT
FP1,FREEPORT TECHNICAL STOP,BHS
AT1,PIRAEUS TECHNICAL STOP,GRC
TP1,TAMPA TECHNICAL STOP,USA
SA1,SAN DIEGO TECHNICAL STOP,USA
SI1,SINGAPORE TECHNICAL STOP,SGP
QL1,LIMASSOL TECHNICAL STOP,CYP
GPT,"GULFPORT, MS, USA",USA
BA1,LA TRANCA TECHNICAL STOP,ECU
SY1,SYDNEY ATHOL BAY TECH STOP,AUS
SY2,SYDNEY OPT TECHNICAL STOP,AUS
KO1,CAMBODIA TECHNICAL STOP,KHM
PBR,"PUERTO BARRIOS, GUATEMALA",GTM
BLQ,"RAVENNA (VENICE), ITALY",ITA
ST1,SOUTHAMPTON  TECHNICAL STOP,GBR
BTM,"BATAM ISLAND, INDONESIA",IDN
CUX,"CUXHAVEN, GERMANY",DEU
MQE,"MARBELLA, SPAIN",ESP
LBU,"LABUAN, MALAYSIA",MYS
POR,"PORTSMOUTH, DOMINCA",DMA
VIS,"VIK, NORWAY",NOR
GLW,GLASGOW (KING GEORGE V DOCK),GBR
WVN,"WILHELMSHAVEN, GERMANY",DEU
PME,"PORTSMOUTH, UK",GBR
WEY,"WEYMOUTH BAY, UK",GBR
PHC,"POOLE BAY, UK",GBR
CHG,"CHAGUARAMAS, TRINIDAD",TTO
ALI,"ALIAGA, TURKEY",TUR
CRR,"FLORENCE/PISA(CARRARA),ITALY",ITA
ARE,"ARENDAL, NORWAY",NOR
GIA,GREAT ISAAC CAY - ANCHORAGE,BHS
PCT,"PUERTO CORTES, HONDURAS",HND
AUG,"AUGUSTA, SICILY, ITALY",ITA
WDC,KETCHIKAN (WARD COVE) ALASKA,USA
KTK,"KOTKA, FINLAND",FIN
MZY,"MOSSEL BAY, SOUTH AFRICA",ZAF
HLE,"ST. HELENA (JAMESTOWN), UK",GBR
ASI,"ASCENSION ISLAND, UK",GBR
MLF,"MILFORD HAVEN, WALES",GBR
LES,"LA ESTACA, CANARY ISLANDS",ESP
ANT,"ANTIBES, FRANCE",FRA
ROR,"KOROR, PALAU",PLW
AIT,"AITUTAKI, COOK ISLANDS",COK
JED,"JEDDAH, SAUDI ARABIA",SAU
EAS,"EASTER ISLAND, CHILE",CHL
PIT,"PITCAIRN ISLAND, UK",GBR
ALO,"ALOTAU, PAPUA NEW GUINEA",PNG
MPG,"MADANG, PAPUA NEW GUINEA",PNG
PVK,"PREVEZA, GREECE",GRC
GOR,"GORINCHEM, NETHERLANDS",NLD
QFQ,"MALOY, NORWAY",NOR
FAV,"FAKARAVA, FRENCH POLYNESIA",PYF
JNN,"NANORTALIK, GREENLAND",GRL
XAM,AMSTERDAM (DAMEN SHIPYARD),NLD
GLT,"GLADSTONE, AUSTRALIA",AUS
HIE,"EL HEIRRO, CANARY ISLANDS",ESP
MAR,"MARIGOT BAY, ST. LUCIA",LCA
IDS,"ILES DU SALUT, FR.GUIANA",GUF
GGL,"GARIBALDI GLACIER, CHILE",CHL
PRV,"PRAIA DA VITORIA, AZORES",PRT
IOW,"COWES, ILE OF WIGHT, UK",GBR
TOB,"TOBERMORY, UK",GBR
TOR,"TORQUAY, UK",GBR
DIN,"DINGLE, IRELAND",IRL
KLN,"KINSALE, IRELAND",IRL
OTO,"OTRANTO, ITALY",ITA
LLA,"LULEA, SWEDEN",SWE
KEM,"KEMI, FINLAND",FIN
OUL,"OULU, FINLAND",FIN
RAU,"RAUMA, FINLAND",FIN
AVS,"AVILES, SPAIN",ESP
PJO,"PORT JOINVILLE, FRANCE",FRA
TNR,"ST. HELIER, UK",GBR
OHI,"OUDESCHILD, NETHERLANDS",NLD
BMK,"BORKUM, GERMANY",DEU
HAF,"HAFNARFJORDUR,  ICELAND",ISL
BGJ,"BORGARFJORDUR, ICELAND",ISL
FLA,"FLATEYRI, ICELAND",ISL
GRY,"GRIMSEY, ICELAND",ISL
SAM,"SAO MIGUEL, AZORES, PORTUGAL",PRT
ANM,"AYIA NAPA, CYPRUS",CYP
MJN,"MAHAJANGA, MADAGASCAR",MDG
SDL,"SUNDSVALL, SWEDEN",SWE
DJU,"DJUPIVOGUR, ICELAND",ISL
GRF,"GRUNDARFJORDUR, ICELAND",ISL
TOA,"TOAMASINA, MADAGASCAR",MDG
PAU,"BORDEAUX (PAUILLAC), FRANCE",FRA
SFJ,"KANGERLUSSUAQ, GREENLAND",GRL
PSS,"PORTO SANTO STEFANO, ITALY",ITA
KTX,BAY OF KOTOR (CRUISING),MNE
MLN,"MELILLA, SPAIN",ESP
TGU,"TEGUCIGALPA, HONDURAS",HND
JOG,"YOGYAKARTA, INDONESIA",IDN
GUM,"GUAM, US",USA
XHB,HAVANNAH BOULARI PASSAGE,NCL
IRO,"ISLE ROYALE, FRENCH GUIANA",GUF
STL,"SAINT HELLIER, JERSEY",GBR
WCA,"CASTRO, CHILE",CHL
HVC,"HARVEST CAYE, BELIZE",BLZ
FSA,"VENICE (FUSINA), ITALY",ITA
CHO,"VENICE (CHIOGGIA), ITALY",ITA
TAS,"TASMAN BAY, NEW ZEALAND",NZL
SNC,SIERRA NEGRA CALDERA-ISABELA,ECU
LST,LAS TINTORERAS (ISABELA),ECU
CZL,"COZUMEL, MEXICO",MEX
MNF,"MONFALCONE, ITALY",ITA
ALE,"ALGECIRAS, SPAIN",ESP
